Age Group,Birthdate,City,Department,Education Level,Employee ID,First Name,FULL name,Gender,Hiredate,Job Title,Last Name,LOCATION,Performance Rating,State,status,Termdate,Age,length of hire,Salary,Total Active,Total Hired,Total terminated
45-54,7/31/1979,Aurora,Sales,BS,00-94759650,Nathaniel,Nathaniel Morgan,Female,9/21/2017,Sales Specialist,Morgan,BRANCH,Excellent,Illinois,HIRED,,45,7,60797,1,1,0
55+,5/2/1963,Chicago,Sales,BS,00-30493013,Laura,Laura Davis,Female,10/28/2017,Sales Representative,Davis,BRANCH,Excellent,Illinois,HIRED,,61,7,64270,1,1,0
45-54,11/11/1975,Grand Rapids,Sales,BS,00-36549575,Michael,Michael Wang,Female,12/29/2017,Sales Representative,Wang,BRANCH,Excellent,Michigan,HIRED,,49,7,70984,1,1,0
55+,6/24/1965,Grand Rapids,Sales,BS,00-19037049,Diane,Diane Rivera,Female,1/18/2023,Sales Specialist,Rivera,BRANCH,Excellent,Michigan,HIRED,,59,1,78429,1,1,0
45-54,4/21/1971,Warren,Sales,BS,00-74064673,Jason,Jason Anderson,Female,9/25/2019,Sales Consultant,Anderson,BRANCH,Excellent,Michigan,HIRED,,53,5,82618,1,1,0
55+,6/20/1963,Warren,Sales,BS,00-88051323,Cheryl,Cheryl Lopez,Female,4/6/2023,Sales Representative,Lopez,BRANCH,Excellent,Michigan,HIRED,,61,1,68243,1,1,0
25-35,6/27/1996,Warren,Sales,BS,00-98382911,Christopher,Christopher Bennett,Female,1/4/2017,Sales Representative,Bennett,BRANCH,Excellent,Michigan,HIRED,,28,7,66954,1,1,0
35-44,1/10/1986,Buffalo,Sales,BS,00-83100625,Amanda,Amanda Clarke,Female,5/8/2017,Sales Consultant,Clarke,HQ,Excellent,New York,HIRED,,38,7,68669,1,1,0
45-54,8/4/1979,Buffalo,Sales,BS,00-14914026,David,David Rasmussen,Female,1/15/2020,Sales Consultant,Rasmussen,HQ,Excellent,New York,HIRED,,45,4,72238,1,1,0
25-35,1/8/1998,Buffalo,Sales,BS,00-45874310,Tommy,Tommy Mercer,Female,2/2/2015,Sales Consultant,Mercer,HQ,Excellent,New York,HIRED,,26,9,92037,1,1,0
45-54,5/31/1978,Buffalo,Sales,BS,00-86565177,Daniel,Daniel Munoz,Female,10/14/2019,Sales Representative,Munoz,HQ,Excellent,New York,HIRED,,46,5,68391,1,1,0
25-35,1/22/1992,Buffalo,Sales,BS,00-29668825,Darlene,Darlene Foster,Female,3/2/2023,Sales Representative,Foster,HQ,Excellent,New York,HIRED,,32,1,64161,1,1,0
55+,8/14/1962,Buffalo,Sales,BS,00-68035365,Kathryn,Kathryn Obrien,Female,11/23/2023,Sales Representative,Obrien,HQ,Excellent,New York,HIRED,,62,1,70129,1,1,0
45-54,2/2/1975,Buffalo,Sales,BS,00-58037222,Mark,Mark Gomez,Female,1/3/2016,Sales Representative,Gomez,HQ,Excellent,New York,HIRED,,49,8,66265,1,1,0
45-54,8/29/1976,Buffalo,Sales,BS,00-60846028,Sara,Sara Johnston,Female,8/11/2024,Sales Representative,Johnston,HQ,Excellent,New York,HIRED,,48,0,57319,1,1,0
45-54,10/19/1972,Buffalo,Sales,BS,00-99064587,Steven,Steven Nolan,Female,6/24/2016,Sales Representative,Nolan,HQ,Excellent,New York,HIRED,,52,8,68911,1,1,0
35-44,4/22/1989,Buffalo,Sales,BS,00-97806679,Ariana,Ariana Good,Female,6/24/2022,Sales Specialist,Good,HQ,Excellent,New York,HIRED,,35,2,69712,1,1,0
>25,8/19/2000,Buffalo,Sales,BS,00-62428709,Jill,Jill Brown,Female,10/8/2020,Sales Specialist,Brown,HQ,Excellent,New York,HIRED,,24,4,54112,1,1,0
35-44,10/20/1988,New York City,Sales,BS,00-63917932,Kyle,Kyle Kim,Female,11/25/2015,Sales Consultant,Kim,HQ,Excellent,New York,HIRED,,36,9,67191,1,1,0
25-35,6/14/1997,New York City,Sales,BS,00-89173318,Amber,Amber Sandoval,Female,9/28/2022,Sales Representative,Sandoval,HQ,Excellent,New York,HIRED,,27,2,70143,1,1,0
45-54,10/3/1975,New York City,Sales,BS,00-27550618,Andrew,Andrew Watts,Female,3/6/2016,Sales Representative,Watts,HQ,Excellent,New York,HIRED,,49,8,53732,1,1,0
45-54,1/30/1975,New York City,Sales,BS,00-11620224,Christina,Christina Caldwell,Female,12/12/2017,Sales Representative,Caldwell,HQ,Excellent,New York,HIRED,,49,7,73580,1,1,0
25-35,10/17/1997,New York City,Sales,BS,00-99767928,David,David Wiley,Female,12/8/2020,Sales Representative,Wiley,HQ,Excellent,New York,HIRED,,27,4,53386,1,1,0
25-35,12/8/1990,New York City,Sales,BS,00-81868311,Donna,Donna Suarez,Female,12/16/2016,Sales Representative,Suarez,HQ,Excellent,New York,HIRED,,34,8,61639,1,1,0
35-44,2/16/1984,New York City,Sales,BS,00-74714670,Jonathan,Jonathan Lane,Female,4/21/2022,Sales Representative,Lane,HQ,Excellent,New York,HIRED,,40,2,62089,1,1,0
55+,11/1/1966,New York City,Sales,BS,00-76224539,Mario,Mario Lewis,Female,9/14/2017,Sales Representative,Lewis,HQ,Excellent,New York,HIRED,,58,7,64330,1,1,0
25-35,2/6/1994,New York City,Sales,BS,00-70651881,Phillip,Phillip Kelly,Female,10/2/2017,Sales Representative,Kelly,HQ,Excellent,New York,HIRED,,30,7,62167,1,1,0
55+,11/11/1960,New York City,Sales,BS,00-18303664,Ryan,Ryan Perry,Female,1/12/2017,Sales Representative,Perry,HQ,Excellent,New York,HIRED,,64,7,57557,1,1,0
35-44,3/4/1984,New York City,Sales,BS,00-10270663,William,William Wilson,Female,8/11/2017,Sales Representative,Wilson,HQ,Excellent,New York,HIRED,,40,7,57572,1,1,0
45-54,10/25/1972,New York City,Sales,BS,00-90166601,Sierra,Sierra Rodriguez,Female,5/5/2017,Sales Specialist,Rodriguez,HQ,Excellent,New York,HIRED,,52,7,77313,1,1,0
35-44,5/8/1986,Rochester,Sales,BS,00-78808477,Joseph,Joseph Williams,Female,1/28/2023,Sales Consultant,Williams,HQ,Excellent,New York,HIRED,,38,1,71547,1,1,0
35-44,12/8/1982,Rochester,Sales,BS,00-69037325,Natalie,Natalie Shelton,Female,12/16/2022,Sales Consultant,Shelton,HQ,Excellent,New York,HIRED,,42,2,93711,1,1,0
25-35,5/18/1990,Rochester,Sales,BS,00-12371679,Cassandra,Cassandra Simmons,Female,3/10/2024,Sales Representative,Simmons,HQ,Excellent,New York,HIRED,,34,0,66440,1,1,0
25-35,7/20/1998,Rochester,Sales,BS,00-21980116,Cheyenne,Cheyenne Hatfield,Female,5/7/2021,Sales Representative,Hatfield,HQ,Excellent,New York,HIRED,,26,3,68960,1,1,0
25-35,10/18/1998,Rochester,Sales,BS,00-53496826,Cynthia,Cynthia Miller,Female,4/28/2020,Sales Representative,Miller,HQ,Excellent,New York,HIRED,,26,4,55758,1,1,0
45-54,12/4/1979,Rochester,Sales,BS,00-53433833,Eric,Eric Thomas,Female,7/6/2024,Sales Representative,Thomas,HQ,Excellent,New York,HIRED,,45,0,61829,1,1,0
25-35,9/19/1994,Rochester,Sales,BS,00-45614444,Lisa,Lisa Garza,Female,9/7/2016,Sales Representative,Garza,HQ,Excellent,New York,HIRED,,30,8,67746,1,1,0
55+,6/2/1965,Rochester,Sales,BS,00-89932574,Margaret,Margaret Morris,Female,4/3/2024,Sales Representative,Morris,HQ,Excellent,New York,HIRED,,59,0,62597,1,1,0
>25,3/5/2004,Rochester,Sales,BS,00-11640743,Michael,Michael Johnson,Female,3/11/2017,Sales Representative,Johnson,HQ,Excellent,New York,HIRED,,20,7,59874,1,1,0
45-54,3/24/1978,Rochester,Sales,BS,00-71024383,Omar,Omar Silva,Female,9/4/2024,Sales Representative,Silva,HQ,Excellent,New York,HIRED,,46,0,61913,1,1,0
35-44,2/27/1982,Rochester,Sales,BS,00-16347764,Ryan,Ryan Forbes,Female,1/10/2017,Sales Representative,Forbes,HQ,Excellent,New York,HIRED,,42,7,72513,1,1,0
35-44,2/25/1983,Rochester,Sales,BS,00-70891460,Amy,Amy Brooks,Female,12/16/2016,Sales Specialist,Brooks,HQ,Excellent,New York,HIRED,,41,8,61432,1,1,0
35-44,4/1/1982,Rochester,Sales,BS,00-68419398,Michael,Michael Arias,Female,3/19/2020,Sales Specialist,Arias,HQ,Excellent,New York,HIRED,,42,4,72738,1,1,0
25-35,2/25/1994,Greensboro,Sales,BS,00-84021128,Karen,Karen Singh,Female,12/20/2024,Sales Representative,Singh,BRANCH,Excellent,North Carolina,HIRED,,30,0,57156,1,1,0
35-44,10/4/1981,Raleigh,Sales,BS,00-53602595,Patrick,Patrick Merritt,Female,2/25/2017,Sales Representative,Merritt,BRANCH,Excellent,North Carolina,HIRED,,43,7,63015,1,1,0
45-54,5/27/1972,Cincinnati,Sales,BS,00-41271945,Juan,Juan Hernandez,Female,3/3/2017,Sales Consultant,Hernandez,BRANCH,Excellent,Ohio,HIRED,,52,7,75634,1,1,0
35-44,2/6/1989,Cincinnati,Sales,BS,00-57122567,Tonya,Tonya Vega,Female,2/26/2023,Sales Representative,Vega,BRANCH,Excellent,Ohio,HIRED,,35,1,70444,1,1,0
35-44,11/27/1983,Columbus,Sales,BS,00-49487002,Elizabeth,Elizabeth Murillo,Female,9/27/2020,Sales Representative,Murillo,BRANCH,Excellent,Ohio,HIRED,,41,4,54841,1,1,0
35-44,9/29/1988,Columbus,Sales,BS,00-82404720,Sandra,Sandra Solomon,Female,11/11/2017,Sales Representative,Solomon,BRANCH,Excellent,Ohio,HIRED,,36,7,56638,1,1,0
25-35,11/12/1996,Allentown,Sales,BS,00-56802956,Mark,Mark Tran,Female,1/4/2019,Sales Representative,Tran,BRANCH,Excellent,Pennsylvania,HIRED,,28,5,53679,1,1,0
25-35,3/22/1990,Philadelphia,Sales,BS,00-54477708,John,John Lambert,Female,12/9/2018,Sales Consultant,Lambert,BRANCH,Excellent,Pennsylvania,HIRED,,34,6,66553,1,1,0
>25,3/13/2002,Philadelphia,Sales,BS,00-10959975,Lori,Lori Daniels,Female,3/11/2018,Sales Representative,Daniels,BRANCH,Excellent,Pennsylvania,HIRED,,22,6,58267,1,1,0
35-44,1/20/1981,Aurora,Customer Service,BS,00-63319462,Francisco,Francisco Taylor,Female,5/9/2019,Customer Service Representative,Taylor,BRANCH,Good,Illinois,HIRED,,43,5,59986,1,1,0
55+,1/9/1967,Aurora,Customer Service,BS,00-28396122,James,James Porter,Female,8/10/2018,Customer Service Representative,Porter,BRANCH,Good,Illinois,HIRED,,57,6,65578,1,1,0
>25,1/5/2003,Aurora,Customer Service,BS,00-45961754,Thomas,Thomas Vaughan,Female,12/24/2024,Support Specialist,Vaughan,BRANCH,Good,Illinois,HIRED,,21,0,59177,1,1,0
35-44,5/13/1989,Naperville,Customer Service,BS,00-70877634,Robert,Robert Potter,Female,7/11/2019,Customer Service Representative,Potter,BRANCH,Good,Illinois,HIRED,,35,5,61129,1,1,0
25-35,11/24/1995,Naperville,Customer Service,BS,00-55969372,Angela,Angela Lowe,Female,11/21/2020,Support Specialist,Lowe,BRANCH,Good,Illinois,HIRED,,29,4,54060,1,1,0
35-44,5/11/1982,Detroit,Customer Service,BS,00-51034327,Richard,Richard Carson,Female,12/24/2019,Customer Service Representative,Carson,BRANCH,Good,Michigan,HIRED,,42,5,59869,1,1,0
35-44,2/4/1989,Detroit,Customer Service,BS,00-97407684,Tonya,Tonya Trujillo,Female,8/14/2015,Customer Service Representative,Trujillo,BRANCH,Good,Michigan,HIRED,,35,9,53129,1,1,0
45-54,11/2/1979,Detroit,Customer Service,BS,00-84977524,Michael,Michael Parker,Female,12/25/2023,Help Desk Technician,Parker,BRANCH,Good,Michigan,HIRED,,45,1,71504,1,1,0
25-35,8/6/1995,Detroit,Customer Service,BS,00-86014287,Natasha,Natasha Rodriguez,Female,3/4/2020,Help Desk Technician,Rodriguez,BRANCH,Good,Michigan,HIRED,,29,4,56775,1,1,0
25-35,8/20/1996,Grand Rapids,Customer Service,BS,00-69747311,Briana,Briana Smith,Female,3/26/2018,Customer Service Representative,Smith,BRANCH,Good,Michigan,HIRED,,28,6,61104,1,1,0
35-44,7/31/1986,Grand Rapids,Customer Service,BS,00-27609040,Isabella,Isabella Dawson,Female,4/26/2018,Customer Service Representative,Dawson,BRANCH,Good,Michigan,HIRED,,38,6,60622,1,1,0
35-44,9/4/1986,Grand Rapids,Customer Service,BS,00-49529512,Jonathan,Jonathan Davis,Female,11/16/2023,Customer Service Representative,Davis,BRANCH,Good,Michigan,HIRED,,38,1,54793,1,1,0
35-44,7/12/1980,Grand Rapids,Customer Service,BS,00-82879693,Tammy,Tammy Johnson,Female,2/15/2019,Customer Service Representative,Johnson,BRANCH,Good,Michigan,HIRED,,44,5,63381,1,1,0
25-35,1/28/1990,Warren,Customer Service,BS,00-48019546,Amanda,Amanda Adams,Female,3/14/2020,Help Desk Technician,Adams,BRANCH,Good,Michigan,HIRED,,34,4,79707,1,1,0
45-54,12/26/1972,Warren,Customer Service,BS,00-28889241,Brian,Brian Harris,Female,11/14/2023,Help Desk Technician,Harris,BRANCH,Good,Michigan,HIRED,,52,1,84435,1,1,0
>25,3/4/2000,Warren,Customer Service,BS,00-55908520,Colton,Colton Collins,Female,9/8/2017,Help Desk Technician,Collins,BRANCH,Good,Michigan,HIRED,,24,7,78072,1,1,0
25-35,8/3/1995,Buffalo,Customer Service,BS,00-86989557,Virginia,Virginia Johnson,Female,9/6/2024,Customer Service Manager,Johnson,HQ,Good,New York,HIRED,,29,0,69870,1,1,0
25-35,9/23/1995,Buffalo,Customer Service,BS,00-49890367,Jacob,Jacob Stone,Female,6/5/2023,Customer Service Representative,Stone,HQ,Good,New York,HIRED,,29,1,62785,1,1,0
>25,2/14/2003,Buffalo,Customer Service,BS,00-83886279,Jesse,Jesse Greene,Female,9/14/2022,Customer Service Representative,Greene,HQ,Good,New York,HIRED,,21,2,54284,1,1,0
25-35,7/12/1999,Buffalo,Customer Service,BS,00-85304172,Jodi,Jodi Valentine,Female,7/7/2016,Customer Service Representative,Valentine,HQ,Good,New York,HIRED,,25,8,62648,1,1,0
55+,11/5/1965,Buffalo,Customer Service,BS,00-59430703,Karen,Karen King,Female,3/15/2016,Customer Service Representative,King,HQ,Good,New York,HIRED,,59,8,56741,1,1,0
25-35,10/4/1996,Buffalo,Customer Service,BS,00-33832188,Kristina,Kristina Todd,Female,11/21/2024,Customer Service Representative,Todd,HQ,Good,New York,HIRED,,28,0,62110,1,1,0
45-54,4/3/1971,Buffalo,Customer Service,BS,00-52386800,Lauren,Lauren Patterson,Female,12/8/2016,Customer Service Representative,Patterson,HQ,Good,New York,HIRED,,53,8,63646,1,1,0
25-35,9/23/1998,Buffalo,Customer Service,BS,00-30806860,Maureen,Maureen Lawrence,Female,4/18/2017,Customer Service Representative,Lawrence,HQ,Good,New York,HIRED,,26,7,60343,1,1,0
25-35,2/9/1993,Buffalo,Customer Service,BS,00-53814159,Robin,Robin Phillips,Female,7/21/2024,Customer Service Representative,Phillips,HQ,Good,New York,HIRED,,31,0,56680,1,1,0
35-44,8/26/1981,Buffalo,Customer Service,BS,00-59027375,Tiffany,Tiffany Stewart,Female,4/16/2019,Customer Service Representative,Stewart,HQ,Good,New York,HIRED,,43,5,57275,1,1,0
35-44,3/17/1984,Buffalo,Customer Service,BS,00-26739248,Tracy,Tracy Martinez,Female,5/15/2020,Customer Service Representative,Martinez,HQ,Good,New York,HIRED,,40,4,61572,1,1,0
45-54,2/11/1975,Buffalo,Customer Service,BS,00-23490911,Virginia,Virginia Gallagher,Female,2/28/2017,Customer Service Representative,Gallagher,HQ,Good,New York,HIRED,,49,7,59929,1,1,0
55+,12/23/1969,Buffalo,Customer Service,BS,00-80673067,Alex,Alex Browning,Female,3/13/2016,Help Desk Technician,Browning,HQ,Good,New York,HIRED,,55,8,85400,1,1,0
35-44,1/24/1980,Buffalo,Customer Service,BS,00-64711507,Alexander,Alexander Anderson,Female,6/12/2023,Help Desk Technician,Anderson,HQ,Good,New York,HIRED,,44,1,81759,1,1,0
45-54,12/24/1972,Buffalo,Customer Service,BS,00-25742667,Andre,Andre Smith,Female,1/15/2020,Help Desk Technician,Smith,HQ,Good,New York,HIRED,,52,4,71342,1,1,0
35-44,9/2/1980,Buffalo,Customer Service,BS,00-87203186,Carrie,Carrie Wright,Female,2/26/2020,Help Desk Technician,Wright,HQ,Good,New York,HIRED,,44,4,81248,1,1,0
45-54,4/28/1979,Buffalo,Customer Service,BS,00-35704262,Daniel,Daniel King,Female,7/12/2016,Help Desk Technician,King,HQ,Good,New York,HIRED,,45,8,55994,1,1,0
35-44,3/10/1984,Buffalo,Customer Service,BS,00-38517975,Holly,Holly Garcia,Female,10/5/2015,Help Desk Technician,Garcia,HQ,Good,New York,HIRED,,40,9,78720,1,1,0
35-44,12/28/1989,Buffalo,Customer Service,BS,00-31866570,James,James Thompson,Female,12/10/2023,Help Desk Technician,Thompson,HQ,Good,New York,HIRED,,35,1,56676,1,1,0
45-54,9/7/1979,Buffalo,Customer Service,BS,00-91408752,Jason,Jason Graham,Female,5/12/2019,Help Desk Technician,Graham,HQ,Good,New York,HIRED,,45,5,83638,1,1,0
35-44,3/18/1987,Buffalo,Customer Service,BS,00-29143006,Jeremiah,Jeremiah Byrd,Female,11/3/2017,Help Desk Technician,Byrd,HQ,Good,New York,HIRED,,37,7,72741,1,1,0
25-35,3/29/1999,Buffalo,Customer Service,BS,00-66837790,Kristina,Kristina Smith,Female,7/17/2017,Help Desk Technician,Smith,HQ,Good,New York,HIRED,,25,7,59015,1,1,0
35-44,7/8/1989,Buffalo,Customer Service,BS,00-11385159,Lori,Lori Davis,Female,8/26/2019,Help Desk Technician,Davis,HQ,Good,New York,HIRED,,35,5,69757,1,1,0
25-35,7/5/1995,Buffalo,Customer Service,BS,00-21390627,Matthew,Matthew Garcia,Female,10/27/2019,Help Desk Technician,Garcia,HQ,Good,New York,HIRED,,29,5,77996,1,1,0
45-54,10/30/1974,Buffalo,Customer Service,BS,00-62190005,Michael,Michael Moreno,Female,3/11/2023,Help Desk Technician,Moreno,HQ,Good,New York,HIRED,,50,1,74749,1,1,0
35-44,9/10/1984,Buffalo,Customer Service,BS,00-24026495,Phillip,Phillip Marshall,Female,11/9/2016,Help Desk Technician,Marshall,HQ,Good,New York,HIRED,,40,8,60543,1,1,0
25-35,3/11/1993,Buffalo,Customer Service,BS,00-79292636,Whitney,Whitney Martinez,Female,10/7/2024,Help Desk Technician,Martinez,HQ,Good,New York,HIRED,,31,0,69139,1,1,0
35-44,3/27/1980,Buffalo,Customer Service,BS,00-52917259,Yvette,Yvette Murray,Female,5/6/2022,Help Desk Technician,Murray,HQ,Good,New York,HIRED,,44,2,57835,1,1,0
35-44,10/1/1989,Buffalo,Customer Service,BS,00-52892856,Benjamin,Benjamin Holder,Female,8/22/2022,Support Specialist,Holder,HQ,Good,New York,HIRED,,35,2,60696,1,1,0
55+,3/1/1963,Buffalo,Customer Service,BS,00-33504891,Catherine,Catherine Huber,Female,2/15/2023,Support Specialist,Huber,HQ,Good,New York,HIRED,,61,1,55569,1,1,0
35-44,1/23/1981,Buffalo,Customer Service,BS,00-61343672,Cody,Cody Alvarado,Female,8/27/2023,Support Specialist,Alvarado,HQ,Good,New York,HIRED,,43,1,62570,1,1,0
25-35,1/10/1995,Buffalo,Customer Service,BS,00-31217083,Dawn,Dawn Vazquez,Female,5/5/2022,Support Specialist,Vazquez,HQ,Good,New York,HIRED,,29,2,54095,1,1,0
35-44,6/20/1981,Buffalo,Customer Service,BS,00-63293861,Elizabeth,Elizabeth Johnson,Female,6/6/2020,Support Specialist,Johnson,HQ,Good,New York,HIRED,,43,4,60780,1,1,0
55+,5/14/1966,Buffalo,Customer Service,BS,00-90203261,Gabriela,Gabriela Wallace,Female,4/4/2018,Support Specialist,Wallace,HQ,Good,New York,HIRED,,58,6,63891,1,1,0
35-44,12/24/1987,Buffalo,Customer Service,BS,00-66637467,Jessica,Jessica Rasmussen,Female,6/5/2018,Support Specialist,Rasmussen,HQ,Good,New York,HIRED,,37,6,58100,1,1,0
45-54,10/14/1975,Buffalo,Customer Service,BS,00-70891160,John,John Guerrero,Female,8/21/2017,Support Specialist,Guerrero,HQ,Good,New York,HIRED,,49,7,64095,1,1,0
35-44,4/20/1985,Buffalo,Customer Service,BS,00-77714140,Karen,Karen Benjamin,Female,7/14/2022,Support Specialist,Benjamin,HQ,Good,New York,HIRED,,39,2,54108,1,1,0
45-54,10/3/1971,Buffalo,Customer Service,BS,00-76041312,Kristin,Kristin Banks,Female,1/31/2017,Support Specialist,Banks,HQ,Good,New York,HIRED,,53,7,62486,1,1,0
>25,4/26/2002,Buffalo,Customer Service,BS,00-10446705,Michelle,Michelle Johnson,Female,6/3/2024,Support Specialist,Johnson,HQ,Good,New York,HIRED,,22,0,54933,1,1,0
>25,12/3/2000,Buffalo,Customer Service,BS,00-90966708,Rebecca,Rebecca Allen,Female,5/3/2019,Support Specialist,Allen,HQ,Good,New York,HIRED,,24,5,61514,1,1,0
35-44,1/6/1983,Buffalo,Customer Service,BS,00-23544314,Zachary,Zachary Barry,Female,12/29/2016,Support Specialist,Barry,HQ,Good,New York,HIRED,,41,8,59315,1,1,0
35-44,2/23/1981,New York City,Customer Service,BS,00-63504332,Linda,Linda Bryan,Female,3/20/2017,Customer Service Manager,Bryan,HQ,Good,New York,HIRED,,43,7,84313,1,1,0
>25,9/28/2002,New York City,Customer Service,BS,00-26942058,Andrew,Andrew Huff,Female,4/14/2016,Customer Service Representative,Huff,HQ,Good,New York,HIRED,,22,8,58693,1,1,0
35-44,3/28/1986,New York City,Customer Service,BS,00-54130655,Beverly,Beverly Warner,Female,1/28/2023,Customer Service Representative,Warner,HQ,Good,New York,HIRED,,38,1,55906,1,1,0
35-44,2/13/1985,New York City,Customer Service,BS,00-22558651,Connie,Connie Pace,Female,11/18/2015,Customer Service Representative,Pace,HQ,Good,New York,HIRED,,39,9,52709,1,1,0
45-54,12/28/1979,New York City,Customer Service,BS,00-44522269,Connie,Connie Warren,Female,2/24/2023,Customer Service Representative,Warren,HQ,Good,New York,HIRED,,45,1,65578,1,1,0
35-44,3/16/1989,New York City,Customer Service,BS,00-31508787,Felicia,Felicia Hill,Female,4/8/2022,Customer Service Representative,Hill,HQ,Good,New York,HIRED,,35,2,58983,1,1,0
35-44,9/13/1989,New York City,Customer Service,BS,00-51086072,James,James Brewer,Female,11/11/2017,Customer Service Representative,Brewer,HQ,Good,New York,HIRED,,35,7,56022,1,1,0
45-54,5/6/1974,New York City,Customer Service,BS,00-60722242,Kimberly,Kimberly Lopez,Female,9/11/2022,Customer Service Representative,Lopez,HQ,Good,New York,HIRED,,50,2,65280,1,1,0
25-35,12/11/1995,New York City,Customer Service,BS,00-90301439,Laurie,Laurie Edwards,Female,10/14/2023,Customer Service Representative,Edwards,HQ,Good,New York,HIRED,,29,1,58212,1,1,0
35-44,1/7/1986,New York City,Customer Service,BS,00-51792388,Melissa,Melissa White,Female,4/23/2021,Customer Service Representative,White,HQ,Good,New York,HIRED,,38,3,65510,1,1,0
25-35,2/19/1996,New York City,Customer Service,BS,00-92984217,Robert,Robert Brewer,Female,3/13/2020,Customer Service Representative,Brewer,HQ,Good,New York,HIRED,,28,4,60877,1,1,0
25-35,12/13/1998,New York City,Customer Service,BS,00-31518068,Ryan,Ryan Flowers,Female,2/4/2017,Customer Service Representative,Flowers,HQ,Good,New York,HIRED,,26,7,59606,1,1,0
25-35,8/16/1995,New York City,Customer Service,BS,00-42636120,Shane,Shane Cook,Female,8/27/2023,Customer Service Representative,Cook,HQ,Good,New York,HIRED,,29,1,52983,1,1,0
45-54,7/4/1973,New York City,Customer Service,BS,00-23115341,Steven,Steven Garcia,Female,3/9/2019,Customer Service Representative,Garcia,HQ,Good,New York,HIRED,,51,5,60869,1,1,0
45-54,1/10/1973,New York City,Customer Service,BS,00-35356407,Thomas,Thomas Martinez,Female,2/25/2017,Customer Service Representative,Martinez,HQ,Good,New York,HIRED,,51,7,56573,1,1,0
35-44,4/7/1983,New York City,Customer Service,BS,00-82652905,Timothy,Timothy Gonzales,Female,8/4/2024,Customer Service Representative,Gonzales,HQ,Good,New York,HIRED,,41,0,56481,1,1,0
25-35,6/14/1996,New York City,Customer Service,BS,00-34418079,Ashley,Ashley Washington,Female,8/12/2017,Help Desk Technician,Washington,HQ,Good,New York,HIRED,,28,7,64916,1,1,0
45-54,7/9/1974,New York City,Customer Service,BS,00-17061921,Barry,Barry Sanford,Female,6/1/2024,Help Desk Technician,Sanford,HQ,Good,New York,HIRED,,50,0,87079,1,1,0
35-44,6/16/1981,New York City,Customer Service,BS,00-86727686,Brian,Brian Hahn,Female,12/10/2023,Help Desk Technician,Hahn,HQ,Good,New York,HIRED,,43,1,78446,1,1,0
>25,10/10/2001,New York City,Customer Service,BS,00-78785556,Caroline,Caroline Williams,Female,8/14/2022,Help Desk Technician,Williams,HQ,Good,New York,HIRED,,23,2,67587,1,1,0
45-54,11/7/1977,New York City,Customer Service,BS,00-14197492,Christopher,Christopher Ramirez,Female,11/17/2017,Help Desk Technician,Ramirez,HQ,Good,New York,HIRED,,47,7,58019,1,1,0
25-35,7/15/1991,New York City,Customer Service,BS,00-46871774,Jose,Jose Cook,Female,10/24/2022,Help Desk Technician,Cook,HQ,Good,New York,HIRED,,33,2,62758,1,1,0
35-44,6/23/1986,New York City,Customer Service,BS,00-41635949,Kristopher,Kristopher Hanson,Female,12/7/2022,Help Desk Technician,Hanson,HQ,Good,New York,HIRED,,38,2,80059,1,1,0
45-54,2/6/1976,New York City,Customer Service,BS,00-26379293,Melanie,Melanie Schroeder,Female,7/24/2017,Help Desk Technician,Schroeder,HQ,Good,New York,HIRED,,48,7,70525,1,1,0
25-35,10/12/1998,New York City,Customer Service,BS,00-23187101,Robert,Robert Moore,Female,1/5/2023,Help Desk Technician,Moore,HQ,Good,New York,HIRED,,26,1,57341,1,1,0
45-54,9/12/1977,New York City,Customer Service,BS,00-73673905,Samantha,Samantha Wilson,Female,12/12/2017,Help Desk Technician,Wilson,HQ,Good,New York,HIRED,,47,7,60864,1,1,0
25-35,9/19/1996,New York City,Customer Service,BS,00-36390882,Stacy,Stacy Avery,Female,1/14/2019,Help Desk Technician,Avery,HQ,Good,New York,HIRED,,28,5,60795,1,1,0
45-54,9/24/1974,New York City,Customer Service,BS,00-93625419,Stacy,Stacy Sanders,Female,4/21/2020,Help Desk Technician,Sanders,HQ,Good,New York,HIRED,,50,4,87854,1,1,0
25-35,7/12/1992,New York City,Customer Service,BS,00-46589757,Walter,Walter Moody,Female,1/17/2019,Help Desk Technician,Moody,HQ,Good,New York,HIRED,,32,5,71467,1,1,0
25-35,5/4/1995,New York City,Customer Service,BS,00-72931255,Benjamin,Benjamin Valenzuela,Female,9/23/2015,Support Specialist,Valenzuela,HQ,Good,New York,HIRED,,29,9,60311,1,1,0
45-54,10/4/1977,New York City,Customer Service,BS,00-19244458,Christine,Christine Mccullough,Female,5/3/2020,Support Specialist,Mccullough,HQ,Good,New York,HIRED,,47,4,55334,1,1,0
35-44,11/2/1982,New York City,Customer Service,BS,00-18963036,Cindy,Cindy Fischer,Female,4/6/2018,Support Specialist,Fischer,HQ,Good,New York,HIRED,,42,6,57462,1,1,0
45-54,5/3/1978,New York City,Customer Service,BS,00-90292116,Courtney,Courtney Dean,Female,4/14/2022,Support Specialist,Dean,HQ,Good,New York,HIRED,,46,2,65237,1,1,0
55+,11/27/1969,New York City,Customer Service,BS,00-53995738,Hannah,Hannah Leonard,Female,7/13/2023,Support Specialist,Leonard,HQ,Good,New York,HIRED,,55,1,55855,1,1,0
